15:45:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | main | 42] Logger initialized
15:45:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:32: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:33: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:34: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:35: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:45: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:46: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:47: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:48: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:50: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 59] Drone: Sent a heartbeat
15:45:51: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | main | 79] Passesd!
