15:45:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
15:45:33: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:35: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:36: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:37: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:38: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:39: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:40: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:41: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:42: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:43: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:45: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:46: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:47: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:48: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:49: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:50: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:51: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
15:45:52: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Missed heartbeat
