15:45:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
15:45:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | main | 127] Connected!
15:45:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:32: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:33: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:33: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:34: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:35: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:35: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:36: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:37: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:38: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:39: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:40: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
15:45:41: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
15:45:42: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
15:45:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
15:45:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:45: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:45: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:46: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:46: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:47: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:47: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:48: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:48: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:49: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:50: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:50: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:51: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
15:45:52: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
