23:51:18: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
23:51:18: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:19: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:20: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
23:51:20: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:20: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:21: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
23:51:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:22: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
23:51:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:23: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
23:51:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:24: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
23:51:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 78] State: Connected
23:51:25: [WARNING] [/Users/tomalmog/Clubs/WARG/p2/modules/heartbeat/heartbeat_receiver.py | run | 73] Missed heartbeat
