23:51:17: [INFO] [/Users/tomalmog/Clubs/WARG/p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
23:51:18: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | main | 127] Connected!
23:51:18: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:19: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:20: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:20: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:26: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:27: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
23:51:28: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
23:51:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
23:51:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
23:51:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:32: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:32: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:33: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:33: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:34: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:35: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:35: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:36: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:37: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:38: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
23:51:39: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
