23:51:42: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | main | 45] Logger initialized
23:51:42: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
23:51:42: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
23:51:42: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
23:51:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
23:51:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
23:51:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
23:51:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
23:51:43: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
23:51:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
23:51:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
23:51:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
23:51:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
23:51:44: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
23:51:45: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
23:51:45: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
